PERMNO;date;SICCD;TICKER;DCLRDT;PAYDT;HSICMG;DIVAMT;FACPR;FACSHR;BIDLO;ASKHI;PRC;VOL;SHROUT;SPREAD;RETX;ewretd;permno;adate;qdate;public_date;pe_op_basic;pe_exi;pcf;dpr;npm;gpm;ptpm;roa;roe;capital_ratio;cash_debt;lt_ppent;dltt_be;debt_assets;curr_ratio;inv_turn;at_turn;rect_turn;pay_turn;rd_sale;adv_sale;staff_sale;accrual;ptb;PEG_1yrforward;PEG_ltgforward
10107;31.01.2006;7370;MSFT;;;;;;;26.28;28.15;28.15;13948013;10333369;;0.076482;0.076354;10107;30.06.2005;30.09.2005;31.01.2006;23.074;23.856;17.185;2.806;0.319;0.877;0.432;0.242;0.235;;0.731;8.814;;0.301;2.913;10.689;0.59;6.394;2.849;0.151;0.025;0;0.055;6.019;15.506;2.109
10107;28.02.2006;7370;MSFT;14.12.2005;09.03.2006;;0.09;0;0;26.39;28.04;26.87;11088149;10333369;;-0.045471;0.004836;10107;30.06.2005;31.12.2005;28.02.2006;21.496;22.392;17.868;0.264;0.316;0.874;0.42;0.262;0.273;;0.731;9.27;;0.318;2.873;8.147;0.6;6.279;2.938;0.151;0.025;0;0.036;6.281;14.555;1.838
10107;31.03.2006;7370;MSFT;;;;;;;26.85;27.89;27.21;14514337;10225000;;0.012653;0.036978;10107;30.06.2005;31.12.2005;31.03.2006;21.768;22.675;17.905;0.264;0.316;0.874;0.42;0.262;0.273;;0.731;9.27;;0.318;2.873;8.147;0.6;6.279;2.938;0.151;0.025;0;0.036;6.293;14.739;1.842
10107;28.04.2006;7370;MSFT;;;;;;;24.15;27.74;24.15;14689919;10201203;;-0.112459;0.009791;10107;30.06.2005;31.12.2005;30.04.2006;19.32;20.125;15.854;0.264;0.316;0.874;0.42;0.262;0.273;;0.731;9.27;;0.318;2.873;8.147;0.6;6.279;2.938;0.151;0.025;0;0.036;5.573;13.081;1.666
10107;31.05.2006;7370;MSFT;27.03.2006;08.06.2006;;0.09;0;0;22.56;24.29;22.65;23651189;10201203;;-0.062112;-0.044331;10107;30.06.2005;31.03.2006;31.05.2006;17.695;17.976;15.303;0.259;0.316;0.86;0.419;0.261;0.287;;0.731;9.668;;0.339;2.78;7.182;0.617;6.19;3.082;0.15;0.025;0;0.024;5.496;-5.842;1.48
10107;30.06.2006;7370;MSFT;;;;;;;21.51;23.4702;23.3;19980809;10062000;;0.028698;-0.008479;10107;30.06.2005;31.03.2006;30.06.2006;18.203;18.492;15.527;0.259;0.316;0.86;0.419;0.261;0.287;;0.731;9.668;;0.339;2.78;7.182;0.617;6.19;3.082;0.15;0.025;0;0.024;5.577;-6.01;1.522
10107;31.07.2006;7370;MSFT;;;;;;;22.26;24.37;24.06;13651770;10062000;;0.032618;-0.022698;10107;30.06.2005;31.03.2006;31.07.2006;18.797;19.095;16.034;0.259;0.316;0.86;0.419;0.261;0.287;;0.731;9.668;;0.339;2.78;7.182;0.617;6.19;3.082;0.15;0.025;0;0.024;5.759;;
10107;31.08.2006;7370;MSFT;22.06.2006;14.09.2006;;0.09;0;0;23.99;26.12;25.7;11905970;9969992;;0.068163;0.025011;10107;30.06.2006;30.06.2006;31.08.2006;19.922;21.417;17.789;0.285;0.285;0.85;0.412;0.265;0.286;0;0.488;9.689;0;0.424;2.184;6.765;0.631;5.369;3.062;0.149;0.028;0;0.026;6.389;1.511;1.692
10107;29.09.2006;7370;MSFT;;;;;;;25.43;27.44;27.35;11080397;9820000;;0.064202;0.009006;10107;30.06.2006;30.06.2006;30.09.2006;21.202;22.792;18.646;0.285;0.285;0.85;0.412;0.265;0.286;0;0.488;9.689;0;0.424;2.184;6.765;0.631;5.369;3.062;0.149;0.028;0;0.026;6.697;1.608;1.838
10107;31.10.2006;7370;MSFT;;;;;;;27.36;28.71;28.71;12931312;9830460;;0.049726;0.046211;10107;30.06.2006;30.06.2006;31.10.2006;22.256;23.925;19.594;0.285;0.285;0.85;0.412;0.265;0.286;0;0.488;9.689;0;0.424;2.184;6.765;0.631;5.369;3.062;0.149;0.028;0;0.026;7.038;1.787;2.019
10107;30.11.2006;7370;MSFT;13.09.2006;14.12.2006;;0.1;0;0;28.73;29.92;29.36;12958870;9830460;;0.02264;0.031168;10107;30.06.2006;30.09.2006;30.11.2006;22.075;23.302;20.418;0.277;0.285;0.842;0.413;0.27;0.296;0;0.488;9.492;0;0.396;2.36;4.693;0.674;5.895;3.536;0.151;0.028;0;0.018;7.995;1.644;1.997
10107;29.12.2006;7370;MSFT;;;;;;;28.85;30.19;29.86;11497028;9777000;;0.01703;0.0148;10107;30.06.2006;30.09.2006;31.12.2006;22.451;23.698;20.652;0.277;0.285;0.842;0.413;0.27;0.296;0;0.488;9.492;0;0.396;2.36;4.693;0.674;5.895;3.536;0.151;0.028;0;0.018;8.087;1.672;2.031
