permno,adate,qdate,public_date,pe_op_basic,pe_exi,pcf,dpr,npm,gpm,ptpm,roa,roe,capital_ratio,cash_debt,lt_ppent,dltt_be,debt_assets,curr_ratio,inv_turn,at_turn,rect_turn,pay_turn,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_1yrforward,PEG_ltgforward
10107,30/06/2005,30/09/2005,31/01/2006,23.074,23.856,17.185,2.806,0.319,0.877,0.432,0.242,0.235,,0.731,8.814,,0.301,2.913,10.689,0.590,6.394,2.849,0.151,0.025,0.000,0.055,6.019,15.506,2.109
10107,30/06/2005,31/12/2005,28/02/2006,21.496,22.392,17.868,0.264,0.316,0.874,0.420,0.262,0.273,,0.731,9.270,,0.318,2.873,8.147,0.600,6.279,2.938,0.151,0.025,0.000,0.036,6.281,14.555,1.838
10107,30/06/2005,31/12/2005,31/03/2006,21.768,22.675,17.905,0.264,0.316,0.874,0.420,0.262,0.273,,0.731,9.270,,0.318,2.873,8.147,0.600,6.279,2.938,0.151,0.025,0.000,0.036,6.293,14.739,1.842
10107,30/06/2005,31/12/2005,30/04/2006,19.320,20.125,15.854,0.264,0.316,0.874,0.420,0.262,0.273,,0.731,9.270,,0.318,2.873,8.147,0.600,6.279,2.938,0.151,0.025,0.000,0.036,5.573,13.081,1.666
10107,30/06/2005,31/03/2006,31/05/2006,17.695,17.976,15.303,0.259,0.316,0.860,0.419,0.261,0.287,,0.731,9.668,,0.339,2.780,7.182,0.617,6.190,3.082,0.150,0.025,0.000,0.024,5.496,-5.842,1.480
10107,30/06/2005,31/03/2006,30/06/2006,18.203,18.492,15.527,0.259,0.316,0.860,0.419,0.261,0.287,,0.731,9.668,,0.339,2.780,7.182,0.617,6.190,3.082,0.150,0.025,0.000,0.024,5.577,-6.010,1.522
10107,30/06/2005,31/03/2006,31/07/2006,18.797,19.095,16.034,0.259,0.316,0.860,0.419,0.261,0.287,,0.731,9.668,,0.339,2.780,7.182,0.617,6.190,3.082,0.150,0.025,0.000,0.024,5.759,,
10107,30/06/2006,30/06/2006,31/08/2006,19.922,21.417,17.789,0.285,0.285,0.850,0.412,0.265,0.286,0.000,0.488,9.689,0.000,0.424,2.184,6.765,0.631,5.369,3.062,0.149,0.028,0.000,0.026,6.389,1.511,1.692
10107,30/06/2006,30/06/2006,30/09/2006,21.202,22.792,18.646,0.285,0.285,0.850,0.412,0.265,0.286,0.000,0.488,9.689,0.000,0.424,2.184,6.765,0.631,5.369,3.062,0.149,0.028,0.000,0.026,6.697,1.608,1.838
10107,30/06/2006,30/06/2006,31/10/2006,22.256,23.925,19.594,0.285,0.285,0.850,0.412,0.265,0.286,0.000,0.488,9.689,0.000,0.424,2.184,6.765,0.631,5.369,3.062,0.149,0.028,0.000,0.026,7.038,1.787,2.019
10107,30/06/2006,30/09/2006,30/11/2006,22.075,23.302,20.418,0.277,0.285,0.842,0.413,0.270,0.296,0.000,0.488,9.492,0.000,0.396,2.360,4.693,0.674,5.895,3.536,0.151,0.028,0.000,0.018,7.995,1.644,1.997
10107,30/06/2006,30/09/2006,31/12/2006,22.451,23.698,20.652,0.277,0.285,0.842,0.413,0.270,0.296,0.000,0.488,9.492,0.000,0.396,2.360,4.693,0.674,5.895,3.536,0.151,0.028,0.000,0.018,8.087,1.672,2.031
10107,30/06/2006,30/09/2006,31/01/2007,23.203,24.492,21.377,0.277,0.285,0.842,0.413,0.270,0.296,0.000,0.488,9.492,0.000,0.396,2.360,4.693,0.674,5.895,3.536,0.151,0.028,0.000,0.018,8.371,1.728,2.102
10107,30/06/2006,31/12/2006,28/02/2007,22.536,23.873,19.778,0.312,0.259,0.817,0.378,0.260,0.293,0.000,0.488,9.089,0.000,0.422,2.190,4.927,0.687,5.598,3.446,0.150,0.028,0.000,0.030,7.530,1.516,2.016
10107,30/06/2006,31/12/2006,31/03/2007,22.296,23.619,19.128,0.312,0.259,0.817,0.378,0.260,0.293,0.000,0.488,9.089,0.000,0.422,2.190,4.927,0.687,5.598,3.446,0.150,0.028,0.000,0.030,7.282,1.500,1.743
10107,30/06/2006,31/12/2006,30/04/2007,23.952,25.373,20.537,0.312,0.259,0.817,0.378,0.260,0.293,0.000,0.488,9.089,0.000,0.422,2.190,4.927,0.687,5.598,3.446,0.150,0.028,0.000,0.030,7.819,1.611,1.864
10107,30/06/2006,31/03/2007,31/05/2007,21.462,22.079,17.608,0.272,0.280,0.833,0.405,0.300,0.358,0.000,0.488,8.479,0.000,0.443,2.066,4.424,0.747,5.738,3.208,0.142,0.028,0.000,0.042,8.395,1.275,1.612
10107,30/06/2006,31/03/2007,30/06/2007,20.608,21.201,16.577,0.272,0.280,0.833,0.405,0.300,0.358,0.000,0.488,8.479,0.000,0.443,2.066,4.424,0.747,5.738,3.208,0.142,0.028,0.000,0.042,7.904,1.224,1.771
