PERMNO,date,SICCD,TICKER,DCLRDT,PAYDT,HSICMG,DIVAMT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,SHROUT,SPREAD,RETX,ewretd
10107,31/01/2006,7370,MSFT,,,,,,,26.28000,28.15000,28.15000,13948013,10333369,,0.076482,0.076354
10107,28/02/2006,7370,MSFT,14/12/2005,09/03/2006,,0.09000,0.00000,0.00000,26.39000,28.04000,26.87000,11088149,10333369,,-0.045471,0.004836
10107,31/03/2006,7370,MSFT,,,,,,,26.85000,27.89000,27.21000,14514337,10225000,,0.012653,0.036978
10107,28/04/2006,7370,MSFT,,,,,,,24.15000,27.74000,24.15000,14689919,10201203,,-0.112459,0.009791
10107,31/05/2006,7370,MSFT,27/03/2006,08/06/2006,,0.09000,0.00000,0.00000,22.56000,24.29000,22.65000,23651189,10201203,,-0.062112,-0.044331
10107,30/06/2006,7370,MSFT,,,,,,,21.51000,23.47020,23.30000,19980809,10062000,,0.028698,-0.008479
10107,31/07/2006,7370,MSFT,,,,,,,22.26000,24.37000,24.06000,13651770,10062000,,0.032618,-0.022698
10107,31/08/2006,7370,MSFT,22/06/2006,14/09/2006,,0.09000,0.00000,0.00000,23.99000,26.12000,25.70000,11905970,9969992,,0.068163,0.025011
10107,29/09/2006,7370,MSFT,,,,,,,25.43000,27.44000,27.35000,11080397,9820000,,0.064202,0.009006
10107,31/10/2006,7370,MSFT,,,,,,,27.36000,28.71000,28.71000,12931312,9830460,,0.049726,0.046211
10107,30/11/2006,7370,MSFT,13/09/2006,14/12/2006,,0.10000,0.00000,0.00000,28.73000,29.92000,29.36000,12958870,9830460,,0.022640,0.031168
10107,29/12/2006,7370,MSFT,,,,,,,28.85000,30.19000,29.86000,11497028,9777000,,0.017030,0.014800
10107,31/01/2007,7370,MSFT,,,,,,,29.64000,31.21000,30.86000,13390496,9792314,,0.033490,0.022283
10107,28/02/2007,7370,MSFT,20/12/2006,08/03/2007,,0.10000,0.00000,0.00000,27.87000,30.56000,28.17000,13007733,9792314,,-0.087168,0.002111
10107,30/03/2007,7370,MSFT,,,,,,,26.72000,28.52000,27.87000,12832900,9572000,,-0.010650,0.006545
10107,30/04/2007,7370,MSFT,,,,,,,27.74000,30.12000,29.94000,9676052,9566808,,0.074273,0.027044
10107,31/05/2007,7370,MSFT,26/03/2007,14/06/2007,,0.10000,0.00000,0.00000,30.17000,31.11000,30.69010,13176580,9566808,,0.025053,0.023123
10107,29/06/2007,7370,MSFT,,,,,,,29.47000,30.71500,29.47000,11884314,9380000,,-0.039756,-0.007906
10107,31/07/2007,7370,MSFT,,,,,,,28.99000,31.51000,28.99000,13008446,9380000,,-0.016288,-0.043537
10107,31/08/2007,7370,MSFT,27/06/2007,13/09/2007,,0.10000,0.00000,0.00000,27.81000,30.00000,28.73000,12397224,9375492,,-0.008969,-0.011712
10107,28/09/2007,7370,MSFT,,,,,,,28.42010,29.55990,29.46000,11168623,9355000,,0.025409,0.025364
10107,31/10/2007,7370,MSFT,,,,,,,29.45250,36.81000,36.81000,17744802,9355439,,0.249491,0.017406
10107,30/11/2007,7370,MSFT,12/09/2007,13/12/2007,,0.11000,0.00000,0.00000,32.97000,37.06000,33.60000,18330717,9355439,,-0.087205,-0.076617
10107,31/12/2007,7370,MSFT,,,,,,,32.77000,36.61000,35.60000,10700171,9329000,,0.059524,-0.010989
10107,31/01/2008,7370,MSFT,,,,,,,31.93000,35.37000,32.60000,19530535,9306980,,-0.084270,-0.045066
10107,29/02/2008,7370,MSFT,19/12/2007,13/03/2008,,0.11000,0.00000,0.00000,27.19990,30.44980,27.19990,23258303,9306980,,-0.165647,-0.021401
10107,31/03/2008,7370,MSFT,,,,,,,26.99000,29.42000,28.38000,14572915,9310000,,0.043386,-0.025309
10107,30/04/2008,7370,MSFT,,,,,,,28.06000,31.80000,28.52000,14480582,9313293,,0.004933,0.031907
10107,30/05/2008,7370,MSFT,17/03/2008,12/06/2008,,0.11000,0.00000,0.00000,28.05000,30.45010,28.32000,14084270,9313293,,-0.007013,0.031787
10107,30/06/2008,7370,MSFT,,,,,,,27.12000,29.07000,27.51000,15648014,9151000,,-0.028602,-0.086625
10107,31/07/2008,7370,MSFT,,,,,,,25.15000,27.52000,25.72000,16420967,9130293,,-0.065067,-0.001295
10107,29/08/2008,7370,MSFT,11/06/2008,11/09/2008,,0.11000,0.00000,0.00000,25.28000,28.13000,27.29000,12083088,9130293,,0.061042,0.013023
10107,30/09/2008,7370,MSFT,,,,,,,24.57000,27.62000,26.69000,19299651,8977000,,-0.021986,-0.120091
10107,31/10/2008,7370,MSFT,,,,,,,21.18000,26.48000,22.33000,30441987,8895573,,-0.163357,-0.205222
10107,28/11/2008,7370,MSFT,22/09/2008,11/12/2008,,0.13000,0.00000,0.00000,17.53000,23.53000,20.22000,17985595,8895573,,-0.094492,-0.130320
10107,31/12/2008,7370,MSFT,,,,,,,18.61000,21.01000,19.44000,15442392,8889000,,-0.038576,0.042176
10107,30/01/2009,7370,MSFT,,,,,,,17.10000,20.76000,17.10000,15618965,8890563,,-0.120370,-0.024042
10107,27/02/2009,7370,MSFT,10/12/2008,12/03/2009,,0.13000,0.00000,0.00000,16.15000,19.66000,16.15000,14630937,8890563,,-0.055556,-0.107667
10107,31/03/2009,7370,MSFT,,,,,,,15.15000,18.83000,18.37000,16364071,8898000,,0.137461,0.107474
10107,30/04/2009,7370,MSFT,,,,,,,18.61000,20.91000,20.26000,15703150,8899720,,0.102885,0.192762
10107,29/05/2009,7370,MSFT,09/03/2009,18/06/2009,,0.13000,0.00000,0.00000,19.32000,20.89000,20.89000,11077166,8899720,,0.031096,0.102330
10107,30/06/2009,7370,MSFT,,,,,,,21.40000,24.07000,23.77000,14184830,8908000,,0.137865,0.023921
10107,31/07/2009,7370,MSFT,,,,,,,22.39000,25.56000,23.52000,15253854,8910674,,-0.010517,0.085217
10107,31/08/2009,7370,MSFT,10/06/2009,10/09/2009,,0.13000,0.00000,0.00000,23.13000,24.69000,24.65000,10003985,8910674,,0.048044,0.056864
10107,30/09/2009,7370,MSFT,,,,,,,23.86000,25.94000,25.72000,10433262,8900000,,0.043408,0.071255
10107,30/10/2009,7370,MSFT,,,,,,,24.64000,28.68000,27.73000,15277741,8879121,,0.078149,-0.050612
10107,30/11/2009,7370,MSFT,18/09/2009,10/12/2009,,0.13000,0.00000,0.00000,27.53000,30.11000,29.41000,10236442,8879121,,0.060584,0.028476
10107,31/12/2009,7370,MSFT,,,,,,,29.57000,31.39000,30.48000,9238424,8811000,,0.036382,0.055001
10107,29/01/2010,7370,MSFT,,,,,,,28.18000,31.10000,28.18000,13640561,8770461,,-0.075459,-0.011388
10107,26/02/2010,7370,MSFT,09/12/2009,11/03/2010,,0.13000,0.00000,0.00000,27.72000,28.96900,28.67000,10779015,8770461,,0.017388,0.033603
10107,31/03/2010,7370,MSFT,,,,,,,28.46000,30.01000,29.28750,11181446,8762000,,0.021538,0.069289
10107,30/04/2010,7370,MSFT,,,,,,,29.16000,31.39000,30.53500,13259805,8763839,,0.042595,0.057843
10107,28/05/2010,7370,MSFT,08/03/2010,10/06/2010,,0.13000,0.00000,0.00000,25.01000,30.86000,25.80000,17259734,8763839,,-0.155068,-0.076929
10107,30/06/2010,7370,MSFT,,,,,,,23.01000,26.86000,23.01000,16793127,8653567,,-0.108140,-0.056799
10107,30/07/2010,7370,MSFT,,,,,,,23.16000,26.16000,25.81000,14132280,8653567,,0.121686,0.059940
10107,31/08/2010,7370,MSFT,16/06/2010,09/09/2010,,0.13000,0.00000,0.00000,23.46500,26.33000,23.46500,12827745,8653567,,-0.090856,-0.047566
10107,30/09/2010,7370,MSFT,,,,,,,23.85000,25.43000,24.49000,12779695,8562000,,0.043682,0.096418
10107,29/10/2010,7370,MSFT,,,,,,,23.91000,26.66500,26.66500,12854487,8555523,,0.088812,0.040681
10107,30/11/2010,7370,MSFT,21/09/2010,09/12/2010,,0.16000,0.00000,0.00000,25.12000,27.39000,25.25750,14174423,8555523,,-0.052785,0.010736
10107,31/12/2010,7370,MSFT,,,,,,,26.04000,28.30000,27.91000,10367260,8403000,,0.105018,0.068851
10107,31/01/2011,7370,MSFT,,,,,,,27.72500,28.87000,27.72500,13658100,8402382,,-0.006628,0.014412
10107,28/02/2011,7370,MSFT,15/12/2010,10/03/2011,,0.16000,0.00000,0.00000,26.55000,28.28250,26.58000,11176358,8402382,,-0.041298,0.037036
10107,31/03/2011,7370,MSFT,,,,,,,24.78000,26.20000,25.39000,13148095,8431000,,-0.044771,0.008605
