,permno,adate,qdate,public_date,pe_op_basic,pe_exi,pcf,dpr,npm,gpm,ptpm,roa,roe,capital_ratio,cash_debt,lt_ppent,dltt_be,debt_assets,curr_ratio,inv_turn,at_turn,rect_turn,pay_turn,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_1yrforward,PEG_ltgforward,PERMNO,date,SICCD,TICKER,DCLRDT,PAYDT,HSICMG,DIVAMT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,SHROUT,SPREAD,RETX,ewretd
0,10107.0,30/06/2005,30/09/2005,31/01/2006,23.074,23.855999999999998,17.185,2.806,0.319,0.877,0.43200000000000005,0.242,0.235,,0.731,8.814,,0.301,2.9130000000000003,10.689,0.59,6.394,2.8489999999999998,0.151,0.025,0.0,0.055,6.019,15.505999999999998,2.109,10107,31/01/2006,7370.0,MSFT,,,,,,,26.28,28.15,28.15,13948013.0,10333369.0,,0.076482,0.07635399999999999
1,10107.0,30/06/2005,31/12/2005,28/02/2006,21.496,22.392,17.868,0.264,0.316,0.8740000000000001,0.42,0.262,0.273,,0.731,9.27,,0.318,2.873,8.147,0.6,6.279,2.938,0.151,0.025,0.0,0.036000000000000004,6.281000000000001,14.555,1.838,10107,28/02/2006,7370.0,MSFT,14/12/2005,09/03/2006,,0.09,0.0,0.0,26.39,28.04,26.87,11088149.0,10333369.0,,-0.045471,0.004836
2,10107.0,30/06/2005,31/12/2005,31/03/2006,21.768,22.675,17.905,0.264,0.316,0.8740000000000001,0.42,0.262,0.273,,0.731,9.27,,0.318,2.873,8.147,0.6,6.279,2.938,0.151,0.025,0.0,0.036000000000000004,6.292999999999999,14.739,1.8419999999999999,10107,31/03/2006,7370.0,MSFT,,,,,,,26.85,27.89,27.21,14514337.0,10225000.0,,0.012653,0.036978
3,10107.0,30/06/2005,31/12/2005,30/04/2006,19.32,20.125,15.854000000000001,0.264,0.316,0.8740000000000001,0.42,0.262,0.273,,0.731,9.27,,0.318,2.873,8.147,0.6,6.279,2.938,0.151,0.025,0.0,0.036000000000000004,5.5729999999999995,13.081,1.666,10107,28/04/2006,7370.0,MSFT,,,,,,,24.15,27.74,24.15,14689919.0,10201203.0,,-0.112459,0.009791
4,10107.0,30/06/2005,31/03/2006,31/05/2006,17.695,17.976,15.302999999999999,0.259,0.316,0.86,0.419,0.261,0.287,,0.731,9.668,,0.33899999999999997,2.78,7.182,0.617,6.19,3.082,0.15,0.025,0.0,0.024,5.496,-5.8420000000000005,1.48,10107,31/05/2006,7370.0,MSFT,27/03/2006,08/06/2006,,0.09,0.0,0.0,22.56,24.29,22.65,23651189.0,10201203.0,,-0.062112,-0.044331
5,10107.0,30/06/2005,31/03/2006,30/06/2006,18.203,18.492,15.527000000000001,0.259,0.316,0.86,0.419,0.261,0.287,,0.731,9.668,,0.33899999999999997,2.78,7.182,0.617,6.19,3.082,0.15,0.025,0.0,0.024,5.577000000000001,-6.01,1.5219999999999998,10107,30/06/2006,7370.0,MSFT,,,,,,,21.51,23.4702,23.3,19980809.0,10062000.0,,0.028698,-0.008479
6,10107.0,30/06/2005,31/03/2006,31/07/2006,18.797,19.095,16.034000000000002,0.259,0.316,0.86,0.419,0.261,0.287,,0.731,9.668,,0.33899999999999997,2.78,7.182,0.617,6.19,3.082,0.15,0.025,0.0,0.024,5.7589999999999995,,,10107,31/07/2006,7370.0,MSFT,,,,,,,22.26,24.37,24.06,13651770.0,10062000.0,,0.032618,-0.022698
7,10107.0,30/06/2006,30/06/2006,31/08/2006,19.922,21.416999999999998,17.789,0.285,0.285,0.85,0.41200000000000003,0.265,0.28600000000000003,0.0,0.488,9.689,0.0,0.424,2.184,6.765,0.631,5.369,3.062,0.149,0.027999999999999997,0.0,0.026000000000000002,6.388999999999999,1.511,1.692,10107,31/08/2006,7370.0,MSFT,22/06/2006,14/09/2006,,0.09,0.0,0.0,23.99,26.12,25.7,11905970.0,9969992.0,,0.068163,0.025011000000000002
8,10107.0,30/06/2006,30/06/2006,30/09/2006,21.201999999999998,22.791999999999998,18.646,0.285,0.285,0.85,0.41200000000000003,0.265,0.28600000000000003,0.0,0.488,9.689,0.0,0.424,2.184,6.765,0.631,5.369,3.062,0.149,0.027999999999999997,0.0,0.026000000000000002,6.697,1.608,1.838,10107,29/09/2006,7370.0,MSFT,,,,,,,25.43,27.44,27.35,11080397.0,9820000.0,,0.064202,0.009006
9,10107.0,30/06/2006,30/06/2006,31/10/2006,22.256,23.925,19.594,0.285,0.285,0.85,0.41200000000000003,0.265,0.28600000000000003,0.0,0.488,9.689,0.0,0.424,2.184,6.765,0.631,5.369,3.062,0.149,0.027999999999999997,0.0,0.026000000000000002,7.037999999999999,1.787,2.019,10107,31/10/2006,7370.0,MSFT,,,,,,,27.36,28.71,28.71,12931312.0,9830460.0,,0.049726,0.046211
